DATABASE PRESTAZIONI AUTO AUTOMOBILISTICHE;;;;;;;;;
Inclusi brand High-Tech e Hypercar cinesi: Xiaomi, BYD, Yangwang | Totale modelli: 312;;;;;;;;;
;;;;;;;;;
Marca;Modello;Versione;Categoria;Potenza (CV);0-100 km/h (s);Vel. Max (km/h);Ripresa 80-120 (s);1/4 Miglio (s);Nürburgring (s)
Abarth;500e;Elettrica 155 CV;Hot Hatch Elettrica;155;7;155;4,2;12,4;-
Abarth;595 / 695;1.4 Turbo 180 CV Esseesse;Hot Hatch;180;6,7;225;4,5;12,1;-
Abarth;595 / 695;1.4 Turbo 165 CV;Hot Hatch;165;7,3;218;5;12,7;-
Abarth;600e;Scorpionissima Elettrica 280 CV;SUV Sportivo Elettrico;280;5,9;200;3,5;11,3;-
Alfa Romeo;Giulia;Quadrifoglio 2.9 V6 520 CV;Berlina Sportiva;520;3,9;308;2,2;9,3;-
Alfa Romeo;Giulia;2.0 Turbo 280 CV Q4 Veloce;Berlina;280;5,2;240;3,8;10,6;-
Alfa Romeo;Giulia;2.2 Turbo Diesel 210 CV Q4;Berlina;210;6,8;235;4,7;12,2;-
Alfa Romeo;Giulia;2.0 Turbo 200 CV;Berlina;200;6,6;235;4,5;12;-
Alfa Romeo;Giulia;2.2 Turbo Diesel 160 CV;Berlina;160;8,2;220;5,5;13,6;-
Alfa Romeo;Junior / Milano;Veloce Elettrica 280 CV;SUV Elettrico;280;5,9;200;3,5;11,3;-
Alfa Romeo;Junior / Milano;Elettrica 156 CV;SUV Elettrico;156;9;150;5,8;14,4;-
Alfa Romeo;Junior / Milano;1.2 Ibrida 136 CV;SUV;136;8,9;200;6,2;14,3;-
Alfa Romeo;Stelvio;Quadrifoglio 2.9 V6 520 CV;SUV Sportivo;520;3,8;285;2,3;9,2;-
Alfa Romeo;Stelvio;2.0 Turbo 280 CV Q4 Veloce;SUV;280;5,7;230;4;11,1;-
Alfa Romeo;Stelvio;2.2 Turbo Diesel 210 CV Q4;SUV;210;6,6;215;4,8;12;-
Alfa Romeo;Stelvio;2.2 Turbo Diesel 160 CV;SUV;160;8,8;198;6,2;14,2;-
Alfa Romeo;Tonale;Plug-in Hybrid Q4 280 CV;SUV;280;6,2;206;4,1;11,6;-
Alfa Romeo;Tonale;1.5 Hybrid 160 CV;SUV;160;8,8;212;6;14,2;-
Alfa Romeo;Tonale;1.5 Hybrid 130 CV;SUV;130;9,9;195;7,2;15,3;-
Alfa Romeo;Tonale;1.6 Diesel 130 CV;SUV;130;10,9;194;7,8;16,3;-
Alpine;A110;1.8 Turbo 252 CV;Coupé;252;4,5;250;3,1;9,2;-
Alpine;A110 R;1.8 Turbo 300 CV Carbon;Coupé Sportivo;300;3,9;285;2,6;8,1;-
Alpine;A110 S;1.8 Turbo 300 CV;Coupé;300;4,2;275;2,8;8,6;-
Audi;A1 Sportback;35 TFSI 1.5 150 CV;Citycar;150;7,7;217;5,4;13,1;-
Audi;A1 Sportback;30 TFSI 1.0 116 CV;Citycar;116;9,4;203;7;14,8;-
Audi;A1 Sportback;25 TFSI 1.0 95 CV;Citycar;95;11;193;8;16,4;-
Audi;A3 Sportback;35 TFSI 1.5 Mild Hybrid 150 CV;Berlina;150;8,1;224;5,5;13,5;-
Audi;A3 Sportback;35 TDI 2.0 150 CV;Berlina;150;8,3;224;5,6;13,7;-
Audi;A3 Sportback;30 TFSI 1.5 Mild Hybrid 116 CV;Berlina;116;9,9;205;7,2;15,3;-
Audi;A3 Sportback;30 TDI 2.0 116 CV;Berlina;116;10,1;206;7,3;15,5;-
Audi;A4 Avant;40 TDI Quattro 204 CV;Station Wagon;204;6,9;236;4,6;12,3;-
Audi;A4 Avant;35 TDI 2.0 Mild Hybrid 163 CV;Station Wagon;163;8,5;223;5,9;13,9;-
Audi;A5 Sportback;40 TFSI 2.0 204 CV;Berlina;204;7,2;244;4,8;12,6;-
Audi;A6 Avant;40 TDI 2.0 204 CV;Station Wagon;204;7,6;241;5,2;13;-
Audi;Q2;35 TFSI 1.5 150 CV;SUV;150;8,6;218;5,9;14;-
Audi;Q2;30 TFSI 1.0 110 CV;SUV;110;11,2;197;8;16,6;-
Audi;Q3;35 TFSI 1.5 150 CV;SUV;150;9,4;206;6,5;14,8;-
Audi;Q3;35 TDI 2.0 150 CV;SUV;150;9,3;202;6,4;14,7;-
Audi;Q4 e-tron;45 Elettrica 286 CV;SUV Elettrico;286;6,7;180;4,1;12,1;-
Audi;Q5;50 TFSI e Plug-in 299 CV;SUV;299;6,1;239;3,9;11,5;-
Audi;Q5;40 TDI Quattro 204 CV;SUV;204;7,6;222;5,2;13;-
Audi;Q8;50 TDI Quattro 286 CV;SUV;286;6,1;241;4;11,5;-
Audi;RS Q3;2.5 TFSI 400 CV;SUV Sportivo;400;4,5;280;2,8;9,9;-
Audi;RS Q8;4.0 V8 Twin-Turbo 600 CV;SUV Sportivo;600;3,8;305;2,3;9,2;-
Audi;RS3 Sportback;2.5 TFSI 400 CV;Hot Hatch;400;3,8;290;2,4;9,2;-
Audi;RS4 Avant;2.9 V6 Twin-Turbo 450 CV;Station Wagon;450;4,1;280;2,5;9,5;-
Audi;RS4 Avant;2.9 TFSI V6 quattro 450 CV;Station Wagon;450;4,1;250;2,7;8,3;455
Audi;RS5 Sedan / Avant;2.9 V6 TFSI PHEV;Berlina / SW;640;3,5;290;2,4;11,5;-
Audi;RS5 Coupé;2.9 TFSI V6 quattro 450 CV;Coupé;450;3,9;250;2,6;8,1;450
Audi;RS6 Avant;Performance 4.0 V8 630 CV;Station Wagon;630;3,4;305;1,9;8,8;-
Audi;S3 Sportback;2.0 TFSI 333 CV;Hot Hatch;333;4,7;250;2,8;10,1;-
Audi;e-tron GT;RS 598 CV;Berlina Elettrica;598;3,3;250;1,5;8,7;-
BMW;M135i;xDrive 2.0 300 CV;Hot Hatch;300;4,8;250;3;10,2;-
BMW;M2;G87 3.0 460 CV;Coupe Sportiva;460;4,1;285;2,2;9,5;-
BMW;M3;Competition xDrive 510 CV;Berlina Sportiva;510;3,5;290;2;8,9;-
BMW;M3 Touring;Competition xDrive 510 CV;Station Wagon;510;3,6;280;2,1;9;-
BMW;M4;Competition xDrive 510 CV;Coupe Sportiva;510;3,5;290;2;8,9;-
BMW;M5;G90 V8 Hybrid 727 CV;Berlina Sportiva;727;3,5;305;1,7;8,9;-
BMW;Serie 1;120d 2.0 190 CV;Berlina;190;7,3;231;4,9;12,7;-
BMW;Serie 1;118d 2.0 150 CV;Berlina;150;8,5;222;5,8;13,9;-
BMW;Serie 1;118i 1.5 136 CV;Berlina;136;8,9;213;6,2;14,3;-
BMW;Serie 1;116i 1.5 109 CV;Berlina;109;10,6;200;7,8;16;-
BMW;Serie 2 Coupe;220i 2.0 184 CV;Coupe;184;7,5;236;5,1;12,9;-
BMW;Serie 3;320d 2.0 190 CV;Berlina;190;6,8;240;4,6;12,2;-
BMW;Serie 3;320i 2.0 184 CV;Berlina;184;7,1;235;4,8;12,5;-
BMW;Serie 5;520d 2.0 Mild Hybrid 197 CV;Berlina;197;7,3;233;4,9;12,7;-
BMW;X1;xDrive23d Mild Hybrid 211 CV;SUV;211;7,4;225;4,9;12,8;-
BMW;X1;sDrive18d 150 CV;SUV;150;8,9;210;6;14,3;-
